PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_NATION_NAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_NAME,FIRST_AUTHOR_NATION_STATUS_NAME,FIRST_AUTHOR_NATION_SURNAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,FIRST_AUTHOR_NATION_STATUS_SURNAME,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,FIRST_AUTHOR_SELECTED_NATION_CATEGORY,LAST_AUTHOR_NATION_NAME,LAST_AUTHOR_COUNTRY_PROBABILITY_NAME,LAST_AUTHOR_NATION_STATUS_NAME,LAST_AUTHOR_NATION_SURNAME,LAST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,LAST_AUTHOR_NATION_STATUS_SURNAME,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS,LAST_AUTHOR_SELECTED_NATION_CATEGORY
Multiple graphical views for automatically generating SQL for the MycoDiversity DB; making fungal biodiversity studies accessible.,Irene Martorelli,Irene,Fons J Verbeek,Fons J,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
MultipleTesting.com: A tool for life science researchers for multiple hypothesis testing correction.,Otília Menyhart,Otília,Balázs Győrffy,Balázs,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
Mutation location and IKs regulation in the arrhythmic risk of long QT syndrome type 1: the importance of the KCNQ1 S6 region.,Peter J Schwartz,Peter J,Paul G A Volders,Paul G A,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
Mutational Characterization of Cutaneous Melanoma Supports Divergent Pathways Model for Melanoma Development.,David Millán-Esteban,David,Eduardo Nagore,Eduardo,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
Mutational signatures and heterogeneous host response revealed via large-scale characterization of SARS-CoV-2 genomic diversity.,Alex Graudenzi,Alex,Daniele Ramazzotti,Daniele,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.92,PASS,
Myoclonus and Dystonia as Recurrent Presenting Features in Patients with the SCA21-Associated TMEM240 p.Pro170Leu Variant.,Ugo Sorrentino,Ugo,Michael Zech,Michael,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,1.0,PASS,
Myopathic mitochondrial DNA depletion syndrome associated with biallelic variants in LIG3.,Federica Invernizzi,Federica,Daniele Ghezzi,Daniele,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.92,PASS,
N-WASP is required for membrane wrapping and myelination by Schwann cells.,Nurit Novak,Nurit,Elior Peles,Elior,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.93,PASS,
NAChRDB: A Web Resource of Structure-Function Annotations to Unravel the Allostery of Nicotinic Acetylcholine Receptors.,Aliaksei Chareshneu,Aliaksei,Jaroslav Koča,Jaroslav,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
NBDC RDF portal: a comprehensive repository for semantic data in life sciences.,Shuichi Kawashima,Shuichi,Toshihisa Takagi,Toshihisa,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
NF-Y controls fidelity of transcription initiation at gene promoters through maintenance of the nucleosome-depleted region.,Andrew J Oldfield,Andrew J,Raja Jothi,Raja,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.8,PASS,
NFATc1 Is a Central Mediator of EGFR-Induced ARID1A Chromatin Dissociation During Acinar Cell Reprogramming.,Zhe Zhang,Zhe,Elisabeth Hessmann,Elisabeth,PASS,,,,,,,male,0.75,PASS,,,,,,,,female,1.0,PASS,
NGPhylogeny.fr: new generation phylogenetic services for non-specialists.,Frédéric Lemoine,Frédéric,Olivier Gascuel,Olivier,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
NGS in Hereditary Ataxia: When Rare Becomes Frequent.,Daniele Galatolo,Daniele,Filippo Maria Santorelli,Filippo Maria,PASS,,,,,,,male,0.92,PASS,,,,,,,,male,0.99,PASS,
NGS-Based Application for Routine Non-Invasive Pre-Implantation Genetic Assessment in IVF.,Katalin Gombos,Katalin,Gábor L Kovács,Gábor L,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
NIF-type iron-sulfur cluster assembly system is duplicated and distributed in the mitochondria and cytosol of Mastigamoeba balamuthi.,Eva Nývltová,Eva,Jan Tachezy,Jan,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.89,PASS,
NMDA Receptor Opening and Closing-Transitions of a Molecular Machine Revealed by Molecular Dynamics.,Jiří Černý,Jiří,Ladislav Vyklický,Ladislav,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
NR2F2 Orphan Nuclear Receptor is Involved in Estrogen Receptor Alpha-Mediated Transcriptional Regulation in Luminal A Breast Cancer Cells.,Edina Erdős,Edina,Bálint László Bálint,Bálint László,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.98,PASS,
"NUP133 Controls Nuclear Pore Assembly, Transcriptome Composition, and Cytoskeleton Regulation in Podocytes.",Manuel Rogg,Manuel,Christoph Schell,Christoph,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
Nanodiamond-Gadolinium(III) Aggregates for Tracking Cancer Growth In Vivo at High Field.,Nikhil Rammohan,Nikhil,Thomas J Meade,Thomas J,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
Nanopore Sequencing Assessment of Bacterial Pathogens and Associated Antibiotic Resistance Genes in Environmental Samples.,Andrei Lobiuc,Andrei,Mihai Covașă,Mihai,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.98,PASS,
National Genome Initiatives in Europe and the United Kingdom in the Era of Whole-Genome Sequencing: A Comprehensive Review.,Jan Smetana,Jan,Petr Brož,Petr,PASS,,,,,,,male,0.89,PASS,,,,,,,,male,0.99,PASS,
Natural History of Polymerase Gamma-Related Ataxia.,Friedemann Bender,Friedemann,Ludger Schöls,Ludger,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
Natural history of MRAS-related Noonan syndrome: Evidence of mild adult-onset left ventricular hypertrophy and neuropsychiatric features.,Manuela Priolo,Manuela,Marco Tartaglia,Marco,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
Navigating the Landscape: A Comprehensive Review of Current Virus Databases.,Muriel Ritsch,Muriel,Manja Marz,Manja,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.89,PASS,
Navigating the uncertainties of next-generation sequencing in the genetics clinic.,Janneke M L Kuiper,Janneke M L,Ine Van Hoyweghen,Ine,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.96,PASS,
Network analysis of specimen co-collection,Sofie Meeus,Sofie,Quentin John Groom,Quentin John,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
"Network, Transcriptomic and Genomic Features Differentiate Genes Relevant for Drug Response.",Janet Piñero,Janet,Laura I Furlong,Laura I,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,0.99,PASS,
Network-Based Methods for Approaching Human Pathologies from a Phenotypic Point of View.,Juan A G Ranea,Juan A G,Florencio Pazos,Florencio,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
Neural plasticity and adult neurogenesis: the deep biology perspective.,Anna Maria Colangelo,Anna Maria,Hans V Westerhoff,Hans V,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
Neuro-symbolic representation learning on biological knowledge graphs.,Mona Alshahrani,Mona,Robert Hoehndorf,Robert,PASS,,,,,,,female,0.97,PASS,,,,,,,,male,1.0,PASS,
NeuroRDF: semantic integration of highly curated data to prioritize biomarker candidates in Alzheimer's disease.,Anandhi Iyappan,Anandhi,Philipp Senger,Philipp,PASS,,,,,,,female,0.89,PASS,,,,,,,,male,1.0,PASS,
Neuromuscular junction involvement in inherited motor neuropathies: genetic heterogeneity and effect of oral salbutamol treatment.,Grace McMacken,Grace,Rita Horvath,Rita,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
Neuropathy in ARSACS is demyelinating but without typical nerve enlargement in nerve ultrasound.,Katharina Kneer,Katharina,Alexander Grimm,Alexander,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
Neurotransmitters … it is all about communication!,Thomas Opladen,Thomas,Mariarita Bertoldi,Mariarita,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
New Improved cGMP Analogues to Target Rod Photoreceptor Degeneration.,Oswaldo Pérez,Oswaldo,Valeria Marigo,Valeria,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
New Insights into the Ecology and Physiology of Methanomassiliicoccales from Terrestrial and Aquatic Environments.,Marc Cozannet,Marc,Karine Alain,Karine,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
New Insights on the Interaction of Phenanthroline Based Ligands and Metal Complexes and Polyoxometalates with Duplex DNA and G-Quadruplexes.,Ángel Sánchez-González,Ángel,Adrià Gil,Adrià,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,0.96,PASS,
New Mechanistic Insights into the Lignin β-O-4 Linkage Acidolysis with Ethylene Glycol Stabilization Aided by Multilevel Computational Chemistry.,Alessandra De Santi,Alessandra,Peter J Deuss,Peter J,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.98,PASS,
New Transcriptomic Biomarkers of 5-Fluorouracil Resistance.,János Tibor Fekete,János Tibor,Balázs Győrffy,Balázs,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
New insights from short and long reads sequencing to explore cytochrome b variants in Plasmopara viticola populations collected from vineyards and related to resistance to complex III inhibitors.,Semcheddine Cherrad,Semcheddine,Sandrine Hughes,Sandrine,PASS,,,,,,,male,0.8,PASS,,,,,,,,female,0.99,PASS,
New insights into the mechanism of iron transport through the bacterial Ftr system present in pathogens.,Anne Soisig Steunou,Anne Soisig,Solange Moréra,Solange,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,0.99,PASS,
New knowledge on anti-IgLON5 disease.,Carles Gaig,Carles,Lidia Sabater,Lidia,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.99,PASS,
New variants expand the neurological phenotype of COQ7 deficiency.,María Alcázar Fabra,María Alcázar,Carlos Santos-Ocaña,Carlos,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
"Next generation community assessment of biomedical entity recognition web servers: metrics, performance, interoperability aspects of BeCalm.",Martin Pérez-Pérez,Martin,Anália Lourenço,Anália,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,1.0,PASS,
"Next generation sequencing of SARS-CoV-2 genomes: challenges, applications and opportunities.",Matteo Chiara,Matteo,Graziano Pesole,Graziano,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
Next-Generation Sequencing-Based Genomic Profiling of Children with Acute Myeloid Leukemia.,Szilvia Krizsán,Szilvia,Csaba Bödör,Csaba,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
Next-generation phenotyping in Nigerian children with Cornelia de Lange syndrome.,Annabelle Arlt,Annabelle,Ekanem Ekure,Ekanem,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.52,PASS,
Nicotinic Acetylcholine Receptors Expressed by Striatal Interneurons Inhibit Striatal Activity and Control Striatal-Dependent Behaviors.,Alice Abbondanza,Alice,Helena Janickova,Helena,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
Nightingale: web components for protein feature visualization,Gustavo Salazar,Gustavo,Maria Martin,Maria,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
Nightingale: web components for protein feature visualization.,Gustavo A Salazar,Gustavo A,Maria Martin,Maria,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.99,PASS,
"Nivolumab and sunitinib combination in advanced soft tissue sarcomas: a multicenter, single-arm, phase Ib/II trial.",Javier Martin-Broto,Javier,Jose A Lopez-Martin,Jose A,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
No evidence for accumulation of deleterious mutations and fitness degradation in clonal fish hybrids: Abandoning sex without regrets.,Jan Kočí,Jan,Karel Janko,Karel,PASS,,,,,,,male,0.89,PASS,,,,,,,,male,0.96,PASS,
No more business as usual: Agile and effective responses to emerging pathogen threats require open data and open analytics.,Dannon Baker,Dannon,Steven Weaver,Steven,PASS,,,,,,,male,0.82,PASS,,,,,,,,male,1.0,PASS,
Non-Motor Symptoms and Quality of Life in Patients with PRRT2-Related Paroxysmal Kinesigenic Dyskinesia.,Asya Ekmen,Asya,Emmanuel Roze,Emmanuel,PASS,,,,,,,female,0.97,PASS,,,,,,,,male,0.99,PASS,
Non-disruptive uptake of anionic and cationic gold nanoparticles in neutral zwitterionic membranes.,Ester Canepa,Ester,Giulia Rossi,Giulia,PASS,,,,,,,female,0.98,PASS,,,,,,,,female,0.99,PASS,
Non-redundant function of dystroglycan and β1 integrins in radial sorting of axons.,Caterina Berti,Caterina,M Laura Feltri,M Laura,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,1.0,PASS,
Noncoding mutations cause super-enhancer retargeting resulting in protein synthesis dysregulation during B cell lymphoma progression.,Rebecca J Leeman-Neill,Rebecca J,Uttiya Basu,Uttiya,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.86,PASS,
Nonlinear data fusion over Entity-Relation graphs for Drug-Target Interaction prediction.,Eugenio Mazzone,Eugenio,Daniele Raimondi,Daniele,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.92,PASS,
Norine: update of the nonribosomal peptide resource.,Areski Flissi,Areski,Maude Pupin,Maude,PASS,,,,,,,male,0.97,PASS,,,,,,,,female,0.99,PASS,
Norwegian e-Infrastructure for Life Sciences (NeLS),Kidane Tekle,Kidane,Inge Jonassen,Inge,PASS,,,,,,,male,0.95,PASS,,,,,,,,female,0.98,PASS,
Norwegian e-Infrastructure for Life Sciences (NeLS).,Kidane M Tekle,Kidane M,Inge Jonassen,Inge,PASS,,,,,,,male,0.59,PASS,,,,,,,,female,0.98,PASS,
Novel GATA1 Variant Causing a Bleeding Phenotype Associated with Combined Platelet α-/δ-Storage Pool Deficiency and Mild Dyserythropoiesis Modified by a SLC4A1 Variant.,Kerstin Jurk,Kerstin,Frauke Bergmann,Frauke,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.98,PASS,
Novel PHOTOPERIOD-1 gene variants associate with yield-related and root-angle traits in European bread wheat.,Manar Makhoul,Manar,Christian Obermeier,Christian,PASS,,,,,,,female,0.93,PASS,,,,,,,,male,0.99,PASS,
Novel RICTOR amplification harbouring entities: FISH validation of RICTOR amplification in tumour tissue after next-generation sequencing.,Dániel Sztankovics,Dániel,Anna Sebestyén,Anna,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.99,PASS,
Novel therapeutic perspectives in Noonan syndrome and RASopathies.,Céline Saint-Laurent,Céline,Thomas Edouard,Thomas,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,1.0,PASS,
Nucleosome Dynamics: a new tool for the dynamic analysis of nucleosome positioning.,Diana Buitrago,Diana,Modesto Orozco,Modesto,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
"Nucleotide sequence and analysis of pRC12 and pRC18, two theta-replicating plasmids harbored by Lactobacillus curvatus CRL 705.",Lucrecia C Terán,Lucrecia C,Raúl R Raya,Raúl R,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
Nutritional composition of raw fresh cashew (Anacardium occidentale L.) kernels from different origin.,Ricard Rico,Ricard,Jordi Salas-Salvadó,Jordi,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
Nutritional content and a phase-I safety clinical trial of a herbal-nutritional supplement (IMUNITI) with putative immune-modulating properties.,M G Matsabisa,M G,M Faber,M,PASS,,,,,,,male,0.77,PASS,,,,,,,,,,PASS,
OME-NGFF: a next-generation file format for expanding bioimaging data-access strategies.,Josh Moore,Josh,Jason R Swedlow,Jason R,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
OME-Zarr: a cloud-optimized bioimaging file format with international community support,Josh Moore,Josh,Jason Swedlow,Jason,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
OME-Zarr: a cloud-optimized bioimaging file format with international community support.,Josh Moore,Josh,Jason R Swedlow,Jason R,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
OMPdb: A Global Hub of Beta-Barrel Outer Membrane Proteins.,Ahmed F Roumia,Ahmed F,Pantelis G Bagos,Pantelis G,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
Odd skipped-related 1 controls the pro-regenerative response of fibro-adipogenic progenitors.,Georgios Kotsaris,Georgios,Sigmar Stricker,Sigmar,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
Off-targetP ML: an open source machine learning framework for off-target panel safety assessment of small molecules.,Doha Naga,Doha,Gerhard F Ecker,Gerhard F,PASS,,,,,,,female,0.93,PASS,,,,,,,,male,1.0,PASS,
"On bias, variance, overfitting, gold standard and consensus in single-particle analysis by cryo-electron microscopy.",C O S Sorzano,C O S,J M Carazo,J M,PASS,,,,,,,male,0.71,PASS,,,,,,,,male,0.88,PASS,
On the Boundary of Exploratory Genomics and Translation in Sequential Glioblastoma.,Marton Tompa,Marton,Bernadette Kalman,Bernadette,PASS,,,,,,,male,0.93,PASS,,,,,,,,female,1.0,PASS,
On the Intermolecular Interactions in Thiophene-Cored Single-Stacking Junctions.,Jiří Czernek,Jiří,Jiří Brus,Jiří,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
On the Many-Body Expansion of an Interaction Energy of Some Supramolecular Halogen-Containing Capsules.,Jiří Czernek,Jiří,Jiří Brus,Jiří,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
On the evaluation of research software: the CDUR procedure.,Teresa Gomez-Diaz,Teresa,Tomas Recio,Tomas,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
On the inference of complex phylogenetic networks by Markov Chain Monte-Carlo.,Charles-Elie Rabier,Charles-Elie,Celine Scornavacca,Celine,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
One Thousand and One Software for Proteomics: Tales of the Toolmakers of Science.,Vasileios Tsiamis,Vasileios,Jon Ison,Jon,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
"OneDep: Unified wwPDB System for Deposition, Biocuration, and Validation of Macromolecular Structures in the PDB Archive.",Jasmine Y Young,Jasmine Y,Stephen K Burley,Stephen K,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
Online biophysical predictions for SARS-CoV-2 proteins,Luciano Kagami,Luciano,Wim Vranken,Wim,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
Online structure-based screening of purchasable approved drugs and natural compounds: retrospective examples of drug repositioning on cancer targets.,Nathalie Lagarde,Nathalie,Bruno O Villoutreix,Bruno O,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,1.0,PASS,
Ontologies for increasing the FAIRness of plant research data.,Kathryn Dumschott,Kathryn,Angela Kranz,Angela,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,1.0,PASS,
Ontology mapping for semantically enabled applications.,Ian Harrow,Ian,Peter Woollard,Peter,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
Open PHACTS computational protocols for in silico target validation of cellular phenotypic screens: knowing the knowns.,D Digles,D,E Jacoby,E,PASS,,,,,,,,,PASS,,,,,,,,,,PASS,
Open-state structure and pore gating mechanism of the cardiac sodium channel.,Daohua Jiang,Daohua,William A Catterall,William A,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
Operator dashboard for controlling the NeIC Sensitive Data Archive,Johan Viklund,Johan,Shreyas Shivakumara,Shreyas,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
Optical Activity of Metal Nanoclusters Deposited on Regular and Doped Oxide Supports from First-Principles Simulations.,Luca Sementa,Luca,Alessandro Fortunelli,Alessandro,PASS,,,,,,,male,0.97,PASS,,,,,,,,male,1.0,PASS,
Optimized SQE atomic charges for peptides accessible via a web application.,Ondřej Schindler,Ondřej,Radka Svobodová,Radka,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.99,PASS,
Orchestrating differential data access for translational research: a pilot implementation.,Marco Brandizi,Marco,Ugis Sarkans,Ugis,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.98,PASS,
Organellar phylogenomics of Ophioglossaceae fern genera.,Li-Yaung Kuo,Li-Yaung,Jason R Grant,Jason R,PASS,,,,,,,female,0.67,PASS,,,,,,,,male,1.0,PASS,
Organizational Aspects of the Implementation and Use of Whole Genome Sequencing and Whole Exome Sequencing in the Pediatric Population in Italy: Results of a Survey.,Mario Cesare Nurchis,Mario Cesare,Gianfranco Damiani,Gianfranco,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,1.0,PASS,
Organizing knowledge to enable faster data interpretation in COVID-19 research,Joseph Hearnshaw,Joseph,Keywan Hassani-Pak,Keywan,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.98,PASS,
Origin of Increased Solvent Accessibility of Peptide Bonds in Mutual Synergetic Folding Proteins.,Csaba Magyar,Csaba,István Simon,István,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
Orphan Medicine Incentives: How to Address the Unmet Needs of Rare Disease Patients by Optimizing the European Orphan Medicinal Product Landscape Guiding Principles and Policy Proposals by the European Expert Group for Orphan Drug Incentives (OD Expert Group).,Annemieke Aartsma-Rus,Annemieke,Yann Le Cam,Yann,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
OrthoInspector 3.0: open portal for comparative genomics.,Yannis Nevers,Yannis,Odile Lecompte,Odile,PASS,,,,,,,male,0.94,PASS,,,,,,,,female,0.99,PASS,
Osteoarthritic chondrocytes undergo a glycolysis-related metabolic switch upon exposure to IL-1b or TNF.,Anais Defois,Anais,Claire Vinatier,Claire,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,1.0,PASS,
Our greatest untapped resource: our patients.,Matt Bolz-Johnson,Matt,Ines Hernando,Ines,PASS,,,,,,,male,1.0,PASS,,,,,,,,female,0.98,PASS,
"Ovarian dysfunction following prenatal exposure to an insecticide, chlordecone, associates with altered epigenetic features.",Louis Legoff,Louis,Fatima Smagulova,Fatima,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.97,PASS,
OverProt: secondary structure consensus for protein families.,Adam Midlik,Adam,Radka Svobodová,Radka,PASS,,,,,,,male,0.98,PASS,,,,,,,,female,0.99,PASS,
Overcoming challenges in rare disease registry integration using the semantic web - a clinical research perspective.,Karl Gisslander,Karl,Mark A Little,Mark A,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.95,PASS,
Overlap of vitamin A and vitamin D target genes with CAKUT-related processes.,Ozan Ozisik,Ozan,Anaïs Baudot,Anaïs,PASS,,,,,,,male,0.98,PASS,,,,,,,,female,0.99,PASS,
Oxa-376 and Oxa-530 variants of β-lactamase: computational study uncovers potential therapeutic targets of Acinetobacter baumannii.,Sajal Kumar Halder,Sajal Kumar,Mahbubul Kabir Himel,Mahbubul Kabir,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.98,PASS,
OxyS small RNA induces cell cycle arrest to allow DNA damage repair.,Shir Barshishat,Shir,Shoshy Altuvia,Shoshy,PASS,,,,,,,female,0.86,PASS,,,,,,,,female,0.93,PASS,
P0 (protein zero) mutation S34C underlies instability of internodal myelin in S63C mice.,Robin L Avila,Robin L,Daniel A Kirschner,Daniel A,PASS,,,,,,,female,0.6,PASS,,,,,,,,male,0.93,PASS,
PAA: an R/bioconductor package for biomarker discovery with protein microarrays.,Michael Turewicz,Michael,Martin Eisenacher,Martin,PASS,,,,,,,male,1.0,PASS,,,,,,,,male,0.99,PASS,
PACAP-38 Induces Transcriptomic Changes in Rat Trigeminal Ganglion Cells Related to Neuroinflammation and Altered Mitochondrial Function Presumably via PAC1/VPAC2 Receptor-Independent Mechanism.,Krisztina Takács-Lovász,Krisztina,Zsuzsanna Helyes,Zsuzsanna,PASS,,,,,,,female,1.0,PASS,,,,,,,,female,1.0,PASS,
PACAP-38 in Acute ST-Segment Elevation Myocardial Infarction in Humans and Pigs: A Translational Study.,Dora Szabo,Dora,Andrea Tamas,Andrea,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.69,PASS,
PARP2 poly(ADP-ribosyl)ates nuclear factor erythroid 2-related factor 2 (NRF2) affecting NRF2 subcellular localization.,Laura Jankó,Laura,Péter Bai,Péter,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
PCSK9 regulates the NODAL signaling pathway and cellular proliferation in hiPSCs.,Meryl Roudaut,Meryl,Karim Si-Tayeb,Karim,PASS,,,,,,,female,0.93,PASS,,,,,,,,male,0.98,PASS,
PDB ProtVista: A reusable and open-source sequence feature viewer,Mandar Deshpande,Mandar,Sameer Velankar,Sameer,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.99,PASS,
PDBe: improved accessibility of macromolecular structure data from PDB and EMDB.,Sameer Velankar,Sameer,Gerard J Kleywegt,Gerard J,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,1.0,PASS,
PDBe: improved findability of macromolecular structure data in the PDB.,David R Armstrong,David R,Sameer Velankar,Sameer,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.99,PASS,
PDBe: towards reusable data delivery infrastructure at protein data bank in Europe.,Saqib Mir,Saqib,Sameer Velankar,Sameer,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
PDBx/mmCIF Ecosystem: Foundational Semantic Tools for Structural Biology.,John D Westbrook,John D,Ezra Peisach,Ezra,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.84,PASS,
PED in 2024: improving the community deposition of structural ensembles for intrinsically disordered proteins.,Hamidreza Ghafouri,Hamidreza,Alexander Miguel Monzon,Alexander Miguel,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
"PEMA: a flexible Pipeline for Environmental DNA Metabarcoding Analysis of the 16S/18S ribosomal RNA, ITS, and COI marker genes.",Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
PEMT: a patent enrichment tool for drug discovery.,Yojana Gadiya,Yojana,Martin Hofmann-Apitius,Martin,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.99,PASS,
PEP-FOLD3: faster de novo structure prediction for linear peptides in solution and in complex.,Alexis Lamiable,Alexis,Pierre Tufféry,Pierre,PASS,,,,,,,male,0.85,PASS,,,,,,,,male,0.99,PASS,
PEP-FOLD4: a pH-dependent force field for peptide structure prediction in aqueous solution.,Julien Rey,Julien,Pierre Tuffery,Pierre,PASS,,,,,,,male,0.99,PASS,,,,,,,,male,0.99,PASS,
PHI-base in 2022: a multi-species phenotype database for Pathogen-Host Interactions.,Martin Urban,Martin,Kim E Hammond-Kosack,Kim E,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.67,PASS,
PHI-base: the pathogen-host interactions database.,Martin Urban,Martin,Kim E Hammond-Kosack,Kim E,PASS,,,,,,,male,0.99,PASS,,,,,,,,female,0.67,PASS,
