PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS
Interplay between Single-Ion and Two-Ion Anisotropies in Frustrated 2D Semiconductors and Tuning of Magnetic Structures Topology.,Danila Amoroso,Danila,Silvia Picozzi,Silvia,PASS,female,0.74,PASS,female,1.0,PASS
Interplay of Chimeric Mating-Type Loci Impairs Fertility Rescue and Accounts for Intra-Strain Variability in Zygosaccharomyces rouxii Interspecies Hybrid ATCC42981.,Melissa Bizzarri,Melissa,Lisa Solieri,Lisa,PASS,female,1.0,PASS,female,1.0,PASS
Interpreting molecular similarity between patients as a determinant of disease comorbidity relationships.,Jon Sánchez-Valle,Jon,Alfonso Valencia,Alfonso,PASS,male,0.99,PASS,male,0.99,PASS
Intracellular development and impact of a marine eukaryotic parasite on its zombified microalgal host.,Johan Decelle,Johan,Laure Guillou,Laure,PASS,male,0.99,PASS,female,0.98,PASS
Intrasexual cuticular hydrocarbon dimorphism in a wasp sheds light on hydrocarbon biosynthesis genes in Hymenoptera.,Victoria C Moris,Victoria C,Oliver Niehuis,Oliver,PASS,female,1.0,PASS,male,0.99,PASS
Intraspecies Transfer of the Chromosomal Acinetobacter baumannii blaNDM-1 Carbapenemase Gene.,Thomas Krahn,Thomas,Andreas Schlüter,Andreas,PASS,male,1.0,PASS,male,1.0,PASS
"Introducing ""best single template"" models as reference baseline for the Continuous Automated Model Evaluation (CAMEO).",Juergen Haas,Juergen,Torsten Schwede,Torsten,PASS,male,1.0,PASS,male,1.0,PASS
Introducing glycomics data into the Semantic Web.,Kiyoko F Aoki-Kinoshita,Kiyoko F,Hisashi Narimatsu,Hisashi,PASS,female,0.99,PASS,male,1.0,PASS
Introducing the Brassica Information Portal: Towards integrating genotypic and phenotypic Brassica crop data.,Annemarie H Eckes,Annemarie H,Wiktor Jurkowski,Wiktor,PASS,female,1.0,PASS,male,1.0,PASS
Introducing the FAIR Principles for research software.,Michelle Barker,Michelle,Tom Honeyman,Tom,PASS,female,1.0,PASS,male,0.99,PASS
Introducing the concept of virtual control groups into preclinical toxicology testing.,Thomas Steger-Hartmann,Thomas,Chris Barber,Chris,PASS,male,1.0,PASS,male,0.91,PASS
Introducing untargeted data-independent acquisition for metaproteomics of complex microbial samples.,Sami Pietilä,Sami,Laura L Elo,Laura L,PASS,male,0.93,PASS,female,1.0,PASS
Introduction to Genomic Analysis Workshop: A catalyst for engaging life-science researchers in high throughput analysis.,Phillip A Richmond,Phillip A,Wyeth W Wasserman,Wyeth W,PASS,male,1.0,PASS,male,0.88,PASS
Intronic FGF14 GAA repeat expansions are a common cause of ataxia syndromes with neuropathy and bilateral vestibulopathy.,David Pellerin,David,Matthis Synofzik,Matthis,PASS,male,1.0,PASS,male,0.99,PASS
"Intuitive, reproducible high-throughput molecular dynamics in Galaxy: a tutorial.",Simon A Bray,Simon A,Björn A Grüning,Björn A,PASS,male,0.91,PASS,male,1.0,PASS
Inverse Molecular Docking Elucidating the Anticarcinogenic Potential of the Hop Natural Product Xanthohumol and Its Metabolites.,Katarina Kores,Katarina,Urban Bren,Urban,PASS,female,0.99,PASS,male,0.9,PASS
Investigating ADR mechanisms with Explainable AI: a feasibility study with knowledge graph mining.,Emmanuel Bresso,Emmanuel,Adrien Coulet,Adrien,PASS,male,0.99,PASS,male,0.98,PASS
Investigating Human Mitochondrial Genomes in Single Cells.,Maria Angela Diroma,Maria Angela,Ernesto Picardi,Ernesto,PASS,female,1.0,PASS,male,1.0,PASS
Investigating the Origin of Mycobacterium chimaera Contamination in Heater-Cooler Units: Integrated Analysis with Fourier Transform Infrared Spectroscopy and Whole-Genome Sequencing.,F Bisognin,F,P Dal Monte,P,PASS,,,PASS,,,PASS
Investigating the basis of sexual dysfunction during late-onset hypogonadism.,Tharu Tharakan,Tharu,Suks Minhas,Suks,PASS,male,0.68,PASS,male,0.68,PASS
Involvement of the Catecholamine Pathway in Glioblastoma Development.,Zoltán Kraboth,Zoltán,Bernadette Kalman,Bernadette,PASS,male,1.0,PASS,female,1.0,PASS
Involvement of the European Medicines Agency in multi-stakeholder regulatory science research projects: experiences of staff members and project coordinators.,Robbe Saesen,Robbe,Isabelle Huys,Isabelle,PASS,male,0.98,PASS,female,0.99,PASS
Ionizing radiation responses appear incidental to desiccation responses in the bdelloid rotifer Adineta vaga,Victoria Moris,Victoria,Karine Van Doninck,Karine,PASS,female,0.99,PASS,female,0.99,PASS
Ionizing radiation responses appear incidental to desiccation responses in the bdelloid rotifer Adineta vaga.,Victoria C Moris,Victoria C,Karine Van Doninck,Karine Van,PASS,female,1.0,PASS,female,0.99,PASS
Iron Chelation in Soil: Scalable Biotechnology for Accelerating Carbon Dioxide Removal by Enhanced Rock Weathering.,Dimitar Z Epihov,Dimitar Z,David J Beerling,David J,PASS,male,1.0,PASS,male,0.99,PASS
"Iron Hack - A symposium/hackathon focused on porphyrias, Friedreich's ataxia, and other rare iron-related diseases.",Gloria C Ferreira,Gloria C,Rays H Y Jiang,Rays H Y,PASS,female,0.97,PASS,male,0.9,PASS
Is the Dinoflagellate Amoebophrya Really Missing an mtDNA?,Ehsan Kayal,Ehsan,David R Smith,David R,PASS,male,0.94,PASS,male,0.98,PASS
Isolation and Cultivation of Neural Progenitors Followed by Chromatin-Immunoprecipitation of Histone 3 Lysine 79 Dimethylation Mark.,Patrick Bovio,Patrick,Henriette Franz,Henriette,PASS,male,1.0,PASS,female,0.99,PASS
Isolation and transfection of myenteric neurons from mice for patch-clamp applications.,Samuel Kuehs,Samuel,Enrico Leipold,Enrico,PASS,male,0.99,PASS,male,1.0,PASS
Isotopic Depletion Increases the Spatial Resolution of FPOP Top-Down Mass Spectrometry Analysis.,Marek Polák,Marek,Petr Novák,Petr,PASS,male,1.0,PASS,male,0.99,PASS
Istore: a project on innovative statistical methodologies to improve rare diseases clinical trials in limited populations.,Stefanie Schoenen,Stefanie,Rima Nabbout,Rima,PASS,female,0.99,PASS,female,0.97,PASS
"JABAWS 2.2 distributed web services for Bioinformatics: protein disorder, conservation and RNA secondary structure.",Peter V Troshin,Peter V,Geoffrey J Barton,Geoffrey J,PASS,male,1.0,PASS,male,1.0,PASS
JASPAR 2024: 20th anniversary of the open-access database of transcription factor binding profiles.,Ieva Rauluseviciute,Ieva,Anthony Mathelier,Anthony,PASS,female,0.99,PASS,male,1.0,PASS
JIB.tools 2.0 - A Bioinformatics Registry for Journal Published Tools with Interoperability to bio.tools.,Marcel Friedrichs,Marcel,Bjorn Sommer,Bjorn,PASS,male,0.98,PASS,male,1.0,PASS
Joining forces for pathology diagnostics with AI assistance: The EMPAIA initiative.,Norman Zerbe,Norman,Peter Hufnagl,Peter,PASS,male,0.99,PASS,male,1.0,PASS
Joining the bacterial conversation: increasing the cultivation efficiency of soil bacteria with acyl-homoserine lactones and cAMP.,Marco A Lopez Marin,Marco A,Ondrej Uhlik,Ondrej,PASS,male,0.99,PASS,male,0.99,PASS
Jupyter and Galaxy: Easing entry barriers into complex data analyses for biomedical researchers.,Björn A Grüning,Björn A,Anton Nekrutenko,Anton,PASS,male,1.0,PASS,male,0.99,PASS
Juvenile myelomonocytic leukaemia presentation after preceding juvenile xanthogranuloma harbouring an identical somatic PTPN11 mutation.,Bence Bátai,Bence,Csaba Bödör,Csaba,PASS,male,1.0,PASS,male,0.99,PASS
K-mer counting and curated libraries drive efficient annotation of repeats in plant genomes.,Bruno Contreras-Moreira,Bruno,Paul Flicek,Paul,PASS,male,1.0,PASS,male,1.0,PASS
KEGGscape: a Cytoscape app for pathway data integration.,Kozo Nishida,Kozo,Koichi Takahashi,Koichi,PASS,male,0.98,PASS,male,1.0,PASS
"Kakila database: Towards a FAIR community approved database of cetacean presence in the waters of the Guadeloupe Archipelago, based on citizen science.",Lorraine Coché,Lorraine,Jean-Luc Jung,Jean-Luc,PASS,female,1.0,PASS,female,0.62,PASS
"Kallikrein-11, in Association with Coiled-Coil Domain Containing 25, as a Potential Prognostic Marker for Cholangiocarcinoma with Lymph Node Metastasis.",Saeranee Siriphak,Saeranee,Siriporn Proungvitaya,Siriporn,PASS,female,1.0,PASS,female,0.98,PASS
"Keutel Syndrome, a Review of 50 Years of Literature.",M Leonor Cancela,M Leonor,Monzur Murshed,Monzur,PASS,female,1.0,PASS,male,0.96,PASS
Kinetic Modeling and Meta-Analysis of the Bacillus subtilis SigB Regulon during Spore Germination and Outgrowth.,Jiri Vohradsky,Jiri,Libor Krásný,Libor,PASS,male,0.99,PASS,male,0.99,PASS
Kinome-wide identification of phosphorylation networks in eukaryotic proteomes.,Luca Parca,Luca,Manuela Helmer-Citterich,Manuela,PASS,male,0.97,PASS,female,0.99,PASS
Klinefelter syndrome comorbidities linked to increased X chromosome gene dosage and altered protein interactome activity.,Kirstine Belling,Kirstine,Søren Brunak,Søren,PASS,female,1.0,PASS,male,1.0,PASS
Knowledge discovery by accuracy maximization.,Stefano Cacciatore,Stefano,Leonardo Tenori,Leonardo,PASS,male,1.0,PASS,male,1.0,PASS
Knowledge graphs and wikidata subsetting,Jose Emilio Labra-Gayo,Jose Emilio,Daniel Mietchen,Daniel,PASS,male,0.99,PASS,male,0.99,PASS
Knowledge-based prediction of DNA hydration using hydrated dinucleotides as building blocks.,Lada Biedermannová,Lada,Bohdan Schneider,Bohdan,PASS,female,0.73,PASS,male,1.0,PASS
Kv7 channel activation reduces brain endothelial cell permeability and prevents kainic acid-induced blood-brain barrier damage.,Camilla Celentano,Camilla,Vincenzo Barrese,Vincenzo,PASS,female,1.0,PASS,male,1.0,PASS
LC/MS analysis and deep sequencing reveal the accurate RNA composition in the HIV-1 virion.,Anna Šimonová,Anna,Hana Cahová,Hana,PASS,female,0.99,PASS,female,0.97,PASS
LDL lowering effect of PCSK9 inhibition is reduced in women.,Veronika A Myasoedova,Veronika A,Paolo Poggio,Paolo,PASS,female,1.0,PASS,male,1.0,PASS
LEON-BIS: multiple alignment evaluation of sequence neighbours using a Bayesian inference system.,Renaud Vanhoutreve,Renaud,Julie D Thompson,Julie D,PASS,male,0.99,PASS,female,1.0,PASS
LGI proteins in the nervous system.,Linde Kegel,Linde,John R Bermingham,John R,PASS,female,0.97,PASS,male,0.99,PASS
LIPID MAPS: update to databases and tools for the lipidomics community.,Matthew J Conroy,Matthew J,Valerie B O'Donnell,Valerie B,PASS,male,1.0,PASS,female,1.0,PASS
LTR-retrotransposon dynamics in common fig (Ficus carica L.) genome.,Alberto Vangelisti,Alberto,Tommaso Giordani,Tommaso,PASS,male,1.0,PASS,male,1.0,PASS
"Lactococcus lactis Diversity Revealed by Targeted Amplicon Sequencing of purR Gene, Metabolic Comparisons and Antimicrobial Properties in an Undefined Mixed Starter Culture Used for Soft-Cheese Manufacture.",Sabrina Saltaji,Sabrina,Romain Chevrot,Romain,PASS,female,0.99,PASS,male,0.99,PASS
Landscape analysis of available European data sources amenable for machine learning and recommendations on usability for rare diseases screening.,Ralitsa Raycheva,Ralitsa,Rumen Stefanov,Rumen,PASS,female,0.99,PASS,male,0.99,PASS
Landscape of BCL2 Resistance Mutations in a Real-World Cohort of Patients with Relapsed/Refractory Chronic Lymphocytic Leukemia Treated with Venetoclax.,Lili Kotmayer,Lili,Donát Alpár,Donát,PASS,female,0.97,PASS,male,1.0,PASS
"Laniakea: an open solution to provide Galaxy ""on-demand"" instances over heterogeneous cloud infrastructures.",Marco Antonio Tangaro,Marco Antonio,Federico Zambelli,Federico,PASS,male,1.0,PASS,male,1.0,PASS
Laniakea: an open solution to provide Galaxy “on-demand” instances over heterogeneous cloud infrastructures,Marco Antonio Tangaro,Marco Antonio,Federico Zambelli,Federico,PASS,male,1.0,PASS,male,1.0,PASS
Laniakea@ReCaS: exploring the potential of customisable Galaxy on-demand instances as a cloud-based service.,Marco Antonio Tangaro,Marco Antonio,Federico Zambelli,Federico,PASS,male,1.0,PASS,male,1.0,PASS
Lanthanide-Dependent Methylotrophs of the Family Beijerinckiaceae: Physiological and Genomic Insights.,Carl-Eric Wegner,Carl-Eric,Kirsten Küsel,Kirsten,PASS,male,1.0,PASS,female,0.99,PASS
Large scale comparison of QSAR and conformal prediction methods and their applications in drug discovery.,Nicolas Bosc,Nicolas,Andrew R Leach,Andrew R,PASS,male,1.0,PASS,male,1.0,PASS
Large scale genome-wide association analyses identify novel genetic loci and mechanisms in hypertrophic cardiomyopathy,Rafik Tadros,Rafik,Hugh Watkins,Hugh,PASS,male,0.98,PASS,male,1.0,PASS
Large-scale computational models of liver metabolism: How far from the clinics?,Tanja Cvitanović,Tanja,Damjana Rozman,Damjana,PASS,female,0.99,PASS,female,0.99,PASS
Lateral gene transfer and gene duplication played a key role in the evolution of Mastigamoeba balamuthi hydrogenosomes.,Eva Nývltová,Eva,Jan Tachezy,Jan,PASS,female,0.99,PASS,male,0.89,PASS
Learning to Identify Physiological and Adventitious Metal-Binding Sites in the Three-Dimensional Structures of Proteins by Following the Hints of a Deep Neural Network.,Vincenzo Laveglia,Vincenzo,Antonio Rosato,Antonio,PASS,male,1.0,PASS,male,0.99,PASS
Legacy Effects of Phytoremediation on Plant-Associated Prokaryotic Communities in Remediated Subarctic Soil Historically Contaminated with Petroleum Hydrocarbons.,Jakub Papik,Jakub,Ondrej Uhlik,Ondrej,PASS,male,1.0,PASS,male,0.99,PASS
Legal assessment tool (LAT): an interactive tool to address privacy and data protection issues for data sharing.,Wolfgang Kuchinke,Wolfgang,Christian Ohmann,Christian,PASS,male,1.0,PASS,male,0.99,PASS
Lentivirus-mediated gene therapy corrects ribosomal biogenesis and shows promise for Diamond Blackfan anemia.,Yari Giménez,Yari,Susana Navarro,Susana,PASS,female,0.61,PASS,female,0.99,PASS
Lessons Learned: Recommendations for Establishing Critical Periodic Scientific Benchmarking,Salvador Capella-Gutierrez,Salvador,Alfonso Valencia,Alfonso,PASS,male,0.99,PASS,male,0.99,PASS
Lessons from a ten-year-long journey: building a student-driven computational biology society across Turkey.,Yasin Kaya,Yasin,Handan Melike Dönertaş,Handan Melike,PASS,male,0.97,PASS,female,0.98,PASS
Lessons learned from urgent computing in Europe: Tackling the COVID-19 pandemic.,Núria López,Núria,Thomas Schulthess,Thomas,PASS,female,1.0,PASS,male,1.0,PASS
Levels of Neurofilament Light at the Preataxic and Ataxic Stages of Spinocerebellar Ataxia Type 1.,Carlo Wilke,Carlo,Matthis Synofzik,Matthis,PASS,male,0.99,PASS,male,0.99,PASS
Leveraging European infrastructures to access 1 million human genomes by 2022.,Gary Saunders,Gary,Serena Scollen,Serena,PASS,male,1.0,PASS,female,0.99,PASS
LifeWatch ERIC: papers collection on original datasets and new e-services for the biodiversity and ecosystems' scientific community.,Christos Arvanitidis,Christos,Wouter Los,Wouter,PASS,male,1.0,PASS,male,1.0,PASS
Light sheet microscopy with acoustic sample confinement.,Zhengyi Yang,Zhengyi,Kishan Dholakia,Kishan,PASS,male,0.7,PASS,male,0.99,PASS
Light-responsive microRNA molecules in human retinal organoids are differentially regulated by distinct wavelengths of light.,Canan Celiker,Canan,Tomas Barta,Tomas,PASS,female,0.95,PASS,male,0.99,PASS
Lightweight Distributed Provenance Model for Complex Real-world Environments.,Rudolf Wittner,Rudolf,Petr Holub,Petr,PASS,male,1.0,PASS,male,0.99,PASS
"Limitations, concerns and potential: attitudes of healthcare professionals toward preimplantation genetic testing using polygenic risk scores.",Maria Siermann,Maria,Pascal Borry,Pascal,PASS,female,0.99,PASS,male,0.99,PASS
Linking PubDictionaries with UniBioDicts to support Community Curation,John Zobolas,John,Steven Vercruysse,Steven,PASS,male,1.0,PASS,male,1.0,PASS
Linking rare and common disease: mapping clinical disease-phenotypes to ontologies in therapeutic target validation.,Sirarat Sarntivijai,Sirarat,James Malone,James,PASS,,0.0,PASS,male,1.0,PASS
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections,Christian Ohmann,Christian,Petr Holub,Petr,PASS,male,0.99,PASS,male,0.99,PASS
"Lipid profile in Noonan syndrome and related disorders: trend by age, sex and genotype.",Federica Tamburrino,Federica,Andrea Pession,Andrea,PASS,female,1.0,PASS,female,0.69,PASS
LipidCreator workbench to probe the lipidomic landscape.,Bing Peng,Bing,Robert Ahrends,Robert,PASS,male,0.8,PASS,male,1.0,PASS
"Lipidomes of lung cancer and tumour-free lung tissues reveal distinct molecular signatures for cancer differentiation, age, inflammation, and pulmonary emphysema.",Lars F Eggers,Lars F,Dominik Schwudke,Dominik,PASS,male,1.0,PASS,male,0.99,PASS
Lipidomics informatics for life-science.,D Schwudke,D,R Ahrends,R,PASS,,,PASS,,,PASS
Lissencephaly: Update on diagnostics and clinical management.,Matti Koenig,Matti,Nataliya Di Donato,Nataliya,PASS,male,0.96,PASS,female,1.0,PASS
Listeria monocytogenes Induces a Virulence-Dependent microRNA Signature That Regulates the Immune Response in Galleria mellonella.,Gopala K Mannala,Gopala K,Torsten Hain,Torsten,PASS,male,0.96,PASS,male,1.0,PASS
Long Intergenic Noncoding RNA MIAT as a Regulator of Human Th17 Cell Differentiation.,Mohd Moin Khan,Mohd Moin,Riitta Lahesmaa,Riitta,PASS,male,1.0,PASS,female,0.99,PASS
Long QT syndrome: importance of reassessing arrhythmic risk after treatment initiation.,Veronica Dusi,Veronica,Peter J Schwartz,Peter J,PASS,female,1.0,PASS,male,0.98,PASS
Long-Read Sequencing Identifies Novel Pathogenic Intronic Variants in Gitelman Syndrome.,Daan H H M Viering,Daan H H M,Jeroen H F de Baaij,Jeroen H F,PASS,male,0.97,PASS,male,1.0,PASS
Long-lived termite kings and queens activate telomerase in somatic organs.,Justina Koubová,Justina,Robert Hanus,Robert,PASS,female,0.99,PASS,male,1.0,PASS
Long-range promoter-enhancer contacts are conserved during evolution and contribute to gene expression robustness.,Alexandre Laverré,Alexandre,Anamaria Necsulea,Anamaria,PASS,male,0.99,PASS,female,0.99,PASS
Long-read sequence assembly: a technical evaluation in barley.,Martin Mascher,Martin,Nils Stein,Nils,PASS,male,0.99,PASS,male,1.0,PASS
Long-read technologies identify a hidden inverted duplication in a family with choroideremia.,Zeinab Fadaie,Zeinab,Susanne Roosing,Susanne,PASS,female,0.99,PASS,female,1.0,PASS
Long-term outcome of posterior fossa medulloblastoma in patients surviving more than 20 years following primary treatment in childhood.,Radek Frič,Radek,Petter Brandal,Petter,PASS,male,0.99,PASS,male,1.0,PASS
Long-term risk of cardiovascular and cerebrovascular disease after removal of the colonic microbiota by colectomy: a cohort study based on the Danish National Patient Register from 1996 to 2014.,Anders Boeck Jensen,Anders Boeck,Thorkild I A Sørensen,Thorkild I A,PASS,male,1.0,PASS,male,0.99,PASS
Longitudinal pathway analysis using structural information with case studies in early type 1 diabetes,Maria Jaakkola,Maria,Laura Elo,Laura,PASS,female,0.99,PASS,female,0.99,PASS
"Low Global Diversity of Candidatus Microthrix, a Troublesome Filamentous Organism in Full-Scale WWTPs.",Marta Nierychlo,Marta,Per H Nielsen,Per H,PASS,female,0.99,PASS,male,1.0,PASS
Low-burden TP53 mutations represent frequent genetic events in CLL with an increased risk for treatment initiation.,Tamás László,Tamás,Csaba Bödör,Csaba,PASS,male,1.0,PASS,male,0.99,PASS
Lysosomal acid lipase does not have a propeptide and should not be considered being a proprotein.,Thea B Strøm,Thea B,Trond P Leren,Trond P,PASS,female,1.0,PASS,male,1.0,PASS
MAGNETO: An Automated Workflow for Genome-Resolved Metagenomics.,Benjamin Churcheward,Benjamin,Samuel Chaffron,Samuel,PASS,male,1.0,PASS,male,0.99,PASS
MAPK Pathways in Ocular Pathophysiology: Potential Therapeutic Drugs and Challenges.,Petros Moustardas,Petros,Neil Lagali,Neil,PASS,male,0.99,PASS,male,1.0,PASS
MCT1-dependent energetic failure and neuroinflammation underlie optic nerve degeneration in Wolfram syndrome mice.,Greta Rossi,Greta,Vania Broccoli,Vania,PASS,female,0.99,PASS,female,0.98,PASS
MD-Ligand-Receptor: A High-Performance Computing Tool for Characterizing Ligand-Receptor Binding Interactions in Molecular Dynamics Trajectories.,Michele Pieroni,Michele,Tiziana Castrignanò,Tiziana,PASS,female,0.54,PASS,female,1.0,PASS
MEK inhibitors activate Wnt signalling and induce stem cell plasticity in colorectal cancer.,Tianzuo Zhan,Tianzuo,Michael Boutros,Michael,PASS,male,1.0,PASS,male,1.0,PASS
MEMOTE for standardized genome-scale metabolic model testing.,Christian Lieven,Christian,Cheng Zhang,Cheng,PASS,male,0.99,PASS,male,0.63,PASS
META-pipe Authorization service.,Inge Alexander Raknes,Inge Alexander,Lars Ailo Bongo,Lars Ailo,PASS,female,0.98,PASS,male,1.0,PASS
META-pipe cloud setup and execution.,Aleksandr Agafonov,Aleksandr,Lars Ailo Bongo,Lars Ailo,PASS,male,1.0,PASS,male,1.0,PASS
MGnify: the microbiome analysis resource in 2020.,Alex L Mitchell,Alex L,Robert D Finn,Robert D,PASS,male,0.71,PASS,male,1.0,PASS
MGnify: the microbiome sequence data analysis resource in 2023.,Lorna Richardson,Lorna,Robert D Finn,Robert D,PASS,female,1.0,PASS,male,1.0,PASS
MIADE metadata guidelines: Minimum Information About a Disorder Experiment,Bálint Mészáros,Bálint,Norman Davey,Norman,PASS,male,0.98,PASS,male,0.99,PASS
MISTIC: A prediction tool to reveal disease-relevant deleterious missense variants.,Kirsley Chennen,Kirsley,Olivier Poch,Olivier,PASS,male,0.86,PASS,male,0.99,PASS
MMP2-9 cleavage of dystroglycan alters the size and molecular composition of Schwann cell domains.,Felipe A Court,Felipe A,M Laura Feltri,M Laura,PASS,male,0.98,PASS,female,1.0,PASS
"MOLEonline: a web-based tool for analyzing channels, tunnels and pores (2018 update).",Lukáš Pravda,Lukáš,Michal Otyepka,Michal,PASS,male,1.0,PASS,male,0.91,PASS
MOLGENIS/connect: a system for semi-automatic integration of heterogeneous phenotype data with applications in biobanks.,Chao Pang,Chao,Morris A Swertz,Morris A,PASS,male,0.83,PASS,male,1.0,PASS
MONTE CARLO SIMULATIONS OF OUT-OF-FIELD LET SPECTRA IN WATER PHANTOM IRRADIATED BY SCANNING PENCIL PROTON BEAM.,Jan Štika,Jan,Marie Davídková,Marie,PASS,male,0.89,PASS,female,0.99,PASS
MRI-ARSACS: An Imaging Index for Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay (ARSACS) Identification Based on the Multicenter PROSPAX Study.,Alessandra Scaravilli,Alessandra,Sirio Cocozza,Sirio,PASS,female,1.0,PASS,male,0.94,PASS
"MTG16 regulates colonic epithelial differentiation, colitis, and tumorigenesis by repressing E protein transcription factors.",Rachel E Brown,Rachel E,Christopher S Williams,Christopher S,PASS,female,1.0,PASS,male,1.0,PASS
MUFFIN: a suite of tools for the analysis of functional sequencing data.,Pierre de Langen,Pierre,Benoit Ballester,Benoit,PASS,male,0.99,PASS,male,0.99,PASS
Machine Learning Data Analysis Highlights the Role of Parasutterella and Alloprevotella in Autism Spectrum Disorders.,Daniele Pietrucci,Daniele,Giovanni Chillemi,Giovanni,PASS,male,0.92,PASS,male,0.99,PASS
Machine actionable metadata models.,Dominique Batista,Dominique,Philippe Rocca-Serra,Philippe,PASS,male,0.52,PASS,male,1.0,PASS
Machine learning in Huntington's disease: exploring the Enroll-HD dataset for prognosis and driving capability prediction.,Jasper Ouwerkerk,Jasper,Eleni Mina,Eleni,PASS,male,0.99,PASS,female,0.99,PASS
Macroalgal microbiomes unveil a valuable genetic resource for halogen metabolism.,Anna Lavecchia,Anna,Antonio Placido,Antonio,PASS,female,0.99,PASS,male,0.99,PASS
Magnesium accumulation upon cyclin M4 silencing activates microsomal triglyceride transfer protein improving NASH.,Jorge Simón,Jorge,María Luz Martínez-Chantar,María Luz,PASS,male,1.0,PASS,female,0.99,PASS
Magnesium and Liver Metabolism Through the Lifespan.,Miren Bravo,Miren,María Luz Martínez-Chantar,María Luz,PASS,female,0.98,PASS,female,0.99,PASS
"Magnesium, Little Known But Possibly Relevant: A Link between NASH and Related Comorbidities.",Jorge Simón,Jorge,Maria Luz Martínez-Chantar,Maria Luz,PASS,male,1.0,PASS,female,0.99,PASS
"Major changes of cell function and toxicant sensitivity in cultured cells undergoing mild, quasi-natural genetic drift.",Simon Gutbier,Simon,Marcel Leist,Marcel,PASS,male,0.99,PASS,male,0.98,PASS
"Making Bioinformatics Training Events and Material More Discoverable Using TeSS, the ELIXIR Training Portal.",Finn Bacall,Finn,Alexander Botzki,Alexander,PASS,male,0.99,PASS,male,1.0,PASS
Making Biomedical Research Software FAIR: Actionable Step-by-step Guidelines with a User-support Tool.,Bhavesh Patel,Bhavesh,Zicheng Hu,Zicheng,PASS,male,1.0,PASS,male,0.94,PASS
Making European performance and impact assessment frameworks for research infrastructures glocal,Ana M.P. Melo,Ana M.P.,Ricardo Leite,Ricardo,PASS,female,0.92,PASS,male,1.0,PASS
Making European performance and impact assessment frameworks for research infrastructures glocal.,Ana M P Melo,Ana M P,Ricardo B Leite,Ricardo B,PASS,female,0.92,PASS,male,1.0,PASS
Making experimental data tables in the life sciences more FAIR: a pragmatic approach.,Daniel Jacob,Daniel,Yves Gibon,Yves,PASS,male,0.99,PASS,male,0.98,PASS
Making sense of big data in health research: Towards an EU action plan.,Charles Auffray,Charles,Gianluigi Zanetti,Gianluigi,PASS,male,1.0,PASS,male,1.0,PASS
Malnutrition induces gut atrophy and increases hepatic fat infiltration: studies in a pig model of childhood malnutrition.,Mikkel Lykke,Mikkel,Thomas Thymann,Thomas,PASS,male,0.99,PASS,male,1.0,PASS
Management of seizures in patients with primary mitochondrial diseases: consensus statement from the InterERNs Mitochondrial Working Group.,Michelangelo Mancuso,Michelangelo,Shamima Rahman,Shamima,PASS,male,1.0,PASS,female,0.96,PASS
Managing the life cycle of a portfolio of open data resources at the SIB Swiss Institute of Bioinformatics.,Chiara Gabella,Chiara,Christine Durinx,Christine,PASS,female,1.0,PASS,female,1.0,PASS
Manatee: detection and quantification of small non-coding RNAs from next-generation sequencing data.,Joanna E Handzlik,Joanna E,Artemis G Hatzigeorgiou,Artemis G,PASS,female,1.0,PASS,male,1.0,PASS
Map challenge: Analysis using a pair comparison method based on Fourier shell correlation.,R Marabini,R,J M Carazo,J M,PASS,,,PASS,male,0.88,PASS
Mapping Immune Correlates and Surfaceome Genes in BRAF Mutated Colorectal Cancers.,Esther Cabañas Morafraile,Esther Cabañas,Alberto Ocaña,Alberto,PASS,female,0.99,PASS,male,1.0,PASS
Mapping MAVE data for use in human genomics applications,Jeremy Arbesfeld,Jeremy,Alex Wagner,Alex,PASS,male,1.0,PASS,male,0.95,PASS
Mapping OHDSI OMOP Common Data Model and GA4GH Phenopackets for COVID-19 disease epidemics and analytics,Núria Queralt-Rosinach,Núria,Danielle Welter,Danielle,PASS,female,1.0,PASS,female,1.0,PASS
"Mapping of Genomic Vulnerabilities in the Post-Translational Ubiquitination, SUMOylation and Neddylation Machinery in Breast Cancer.",Jesús Fuentes-Antrás,Jesús,Alberto Ocaña,Alberto,PASS,male,0.98,PASS,male,1.0,PASS
Mapping the cellular response to electron transport chain inhibitors reveals selective signaling networks triggered by mitochondrial perturbation.,Wanda van der Stel,Wanda,Erik H J Danen,Erik H J,PASS,female,0.98,PASS,male,0.99,PASS
Mass Spectrometry-Based Proteomics Reveal Alcohol Dehydrogenase 1B as a Blood Biomarker Candidate to Monitor Acetaminophen-Induced Liver Injury.,Floriane Pailleux,Floriane,Virginie Brun,Virginie,PASS,female,0.98,PASS,female,0.99,PASS
